id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3, ,83984
4,.,11020
5,이,9273
6,요,7803
7,는,7589
8,다,7500
9,어,6851
10,에,6536
11,가,5556
12,을,4880
13,은,3984
14,고,3926
15,지,3915
16,아,3654
17,하,3650
18,니,3617
19,서,3575
20,한,3294
21,그,3014
22,기,2813
23,사,2667
24,있,2657
25,를,2620
26,로,2511
27,해,2489
28,나,2327
29,리,2105
30,들,2066
31,도,2038
32,의,1906
33,시,1895
34,게,1862
35,?,1843
36,제,1813
37,주,1768
38,저,1735
39,일,1649
40,자,1605
41,으,1597
42,수,1546
43,라,1526
44,세,1512
45,보,1443
46,면,1402
47,국,1330
48,거,1326
49,마,1300
50,습,1287
51,었,1222
52,야,1201
53,대,1189
54,만,1178
55,인,1174
56,오,1099
57,것,1097
58,여,1095
59,무,1065
60,내,1025
61,정,1013
62,전,1008
63,우,1006
64,부,976
65,생,972
66,말,970
67,했,948
68,데,944
69,람,941
70,구,892
71,장,875
72,많,873
73,때,871
74,할,861
75,까,860
76,문,847
77,없,842
78,안,828
79,화,824
80,예,809
81,음,807
82,비,755
83,려,754
84,소,753
85,상,743
86,입,735
87,모,731
88,신,720
89,좋,715
90,적,688
91,같,686
92,네,669
93,중,644
94,합,642
95,래,641
96,과,634
97,되,620
98,스,612
99,간,611
100,러,601
101,너,593
102,좀,574
103,더,571
104,않,568
105,식,568
106,운,564
107,겠,564
108,학,557
109,경,549
110,실,546
111,각,541
112,행,537
113,물,535
114,공,530
115,두,529
116,원,527
117,계,523
118,드,519
119,와,513
120,진,502
121,분,495
122,미,492
123,방,487
124,바,486
125,금,486
126,잘,475
127,았,463
128,히,461
129,유,454
130,싶,451
131,영,439
132,차,432
133,번,425
134,위,421
135,집,420
136,동,420
137,건,417
138,교,409
139,늘,404
140,른,398
141,먹,388
142,남,386
143,관,379
144,회,376
145,르,376
146,발,372
147,직,368
148,님,367
149,개,367
150,명,364
151,선,363
152,울,356
153,친,352
154,워,352
155,배,349
156,편,348
157,조,348
158,연,347
159,약,338
160,심,337
161,녀,337
162,십,335
163,살,334
164,성,333
165,년,331
166,날,328
167,터,327
168,통,323
169,치,323
170,손,322
171,용,321
172,감,319
173,버,318
174,알,316
175,결,316
176,산,311
177,못,310
178,단,308
179,달,299
180,불,298
181,노,298
182,매,295
183,열,294
184,걸,294
185,당,292
186,",",289
187,반,285
188,처,273
189,작,270
190,름,270
191,랑,270
192,얼,269
193,석,266
194,피,265
195,양,265
196,속,265
197,받,265
198,천,263
199,런,263
200,머,260
201,축,258
202,점,258
203,든,255
204,참,248
205,난,248
206,강,248
207,곳,245
208,재,242
209,봐,242
210,올,240
211,희,236
212,줄,236
213,복,230
214,책,227
215,왜,226
216,업,226
217,트,225
218,외,225
219,렸,224
220,갈,224
221,추,222
222,던,222
223,옥,219
224,따,219
225,렇,216
226,본,214
227,혼,212
228,누,212
229,테,211
230,출,210
231,느,210
232,근,209
233,절,208
234,후,207
235,왔,207
236,루,206
237,표,205
238,험,204
239,길,204
240,침,203
241,새,202
242,타,201
243,엄,197
244,셔,196
245,맞,193
246,담,193
247,께,192
248,질,191
249,된,190
250,셨,188
251,등,188
252,디,187
253,졌,186
254,술,186
255,!,185
256,삼,184
257,즘,183
258,언,182
259,력,179
260,목,178
261,눈,178
262,호,177
263,현,177
264,겨,177
265,돌,176
266,밤,172
267,족,171
268,져,171
269,설,170
270,뭐,169
271,볼,167
272,초,165
273,종,165
274,빠,165
275,났,165
276,창,163
277,쪽,163
278,함,161
279,별,161
280,웠,160
281,파,158
282,찾,157
283,민,157
284,격,157
285,막,155
286,잠,151
287,최,150
288,청,150
289,항,148
290,증,148
291,몇,147
292,떻,147
293,냥,146
294,온,143
295,꼭,143
296,체,142
297,됩,142
298,궁,142
299,역,141
300,태,140
301,특,139
302,릴,137
303,돼,137
304,필,136
305,록,136
306,억,135
307,빨,134
308,갔,134
309,임,133
310,옷,132
311,앞,130
312,놀,130
313,죽,129
314,색,129
315,큰,128
316,포,127
317,죠,126
318,였,126
319,접,125
320,향,124
321,잡,124
322,료,124
323,능,124
324,락,122
325,평,121
326,먼,121
327,채,120
328,법,120
329,벌,119
330,코,118
331,끝,118
332,커,117
333,쓰,117
334,키,116
335,월,115
336,레,115
337,돈,115
338,녹,115
339,붕,114
340,봤,113
341,병,113
342,군,113
343,팔,112
344,밖,112
345,망,112
346,또,112
347,떠,111
348,될,111
349,씨,110
350,환,109
351,송,108
352,럼,108
353,넘,108
354,짜,107
355,크,106
356,싸,106
357,순,106
358,숙,106
359,둘,106
360,혀,105
361,밥,105
362,확,104
363,프,104
364,짝,104
365,죄,104
366,린,101
367,답,101
368,품,100
