id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3, ,329497
4,이,37075
5,는,27846
6,그,24151
7,다,22374
8,어,21212
9,가,21065
10,아,19107
11,고,18535
12,지,18235
13,에,17416
14,하,16612
15,도,14522
16,나,13483
17,서,13272
18,을,12846
19,니,12469
20,요,11765
21,은,11105
22,거,10852
23,게,10538
24,기,10106
25,라,9603
26,해,9436
27,있,9289
28,야,9147
29,한,9055
30,로,8860
31,데,8446
32,사,8365
33,리,8340
34,면,8065
35,들,7437
36,까,6466
37,를,6365
38,보,6321
39,만,6275
40,시,5879
41,일,5785
42,자,5684
43,으,5481
44,래,5475
45,대,5302
46,의,5072
47,인,5014
48,수,4973
49,말,4932
50,더,4664
51,제,4588
52,마,4577
53,것,4538
54,주,4497
55,구,4436
56,무,4385
57,정,4367
58,안,4274
59,내,3933
60,생,3905
61,런,3874
62,같,3862
63,좋,3843
64,장,3757
65,러,3666
66,네,3661
67,너,3652
68,우,3648
69,부,3597
70,오,3578
71,었,3543
72,때,3454
73,건,3434
74,렇,3353
75,많,3314
76,소,3218
77,스,3189
78,되,3112
79,겠,3109
80,먹,3012
81,람,2996
82,없,2979
83,전,2923
84,음,2875
85,했,2793
86,저,2784
87,할,2693
88,상,2650
89,여,2619
90,세,2599
91,려,2596
92,적,2484
93,각,2430
94,신,2422
95,알,2364
96,간,2336
97,진,2318
98,물,2277
99,식,2265
100,모,2238
101,문,2187
102,근,2158
103,분,2148
104,화,2140
105,중,2110
106,않,2104
107,습,2103
108,비,2063
109,국,1984
110,뭐,1970
111,르,1935
112,과,1906
113,잘,1898
114,걸,1878
115,았,1861
116,맞,1850
117,방,1839
118,히,1825
119,실,1797
120,번,1796
121,입,1794
122,든,1772
123,미,1771
124,운,1762
125,잖,1742
126,럼,1733
127,집,1724
128,예,1722
129,금,1716
130,좀,1708
131,치,1705
132,난,1698
133,원,1691
134,유,1614
135,동,1581
136,남,1574
137,바,1549
138,봐,1542
139,트,1528
140,단,1520
141,연,1480
142,경,1456
143,두,1436
144,던,1417
145,싶,1396
146,랑,1390
147,직,1388
148,드,1366
149,터,1360
150,공,1322
151,못,1317
152,성,1316
153,당,1308
154,와,1297
155,워,1294
156,계,1292
157,디,1289
158,달,1280
159,차,1244
160,선,1231
161,재,1228
162,학,1220
163,개,1206
164,즘,1203
165,용,1201
166,조,1200
167,맛,1197
168,배,1196
169,긴,1191
170,왜,1188
171,위,1183
172,른,1179
173,버,1176
174,줄,1133
175,친,1109
176,피,1094
177,된,1088
178,테,1083
179,십,1082
180,살,1069
181,교,1069
182,얼,1068
183,발,1059
184,행,1057
185,양,1054
186,감,1054
187,결,1045
188,날,1039
189,심,1028
190,명,1021
191,짜,1017
192,엄,1016
193,처,1012
194,불,1008
195,관,991
196,편,990
197,응,990
198,노,982
199,반,981
200,늘,973
201,작,970
202,새,954
203,름,943
204,강,936
205,합,923
206,법,916
207,느,915
208,속,913
209,질,901
210,울,894
211,참,892
212,냥,892
213,산,888
214,본,882
215,타,858
216,매,856
217,청,854
218,후,853
219,돼,853
220,순,846
221,혼,826
222,회,825
223,올,814
224,통,805
225,영,796
226,떻,792
227,또,790
228,누,779
229,레,776
230,봤,771
231,추,769
232,년,767
233,코,762
234,눈,757
235,애,746
236,볼,745
237,루,745
238,변,733
239,머,731
240,따,730
241,크,718
242,체,718
243,파,716
244,열,705
245,손,699
246,별,689
247,삼,683
248,떤,680
249,갈,679
250,초,677
251,떡,670
252,력,667
253,언,658
254,등,658
255,업,653
256,님,653
257,져,642
258,몸,642
259,점,641
260,태,640
261,럴,635
262,쓰,632
263,색,626
264,슨,620
265,볶,616
266,담,612
267,복,611
268,외,605
269,밥,604
270,왔,603
271,절,599
272,천,594
273,민,594
274,현,573
275,온,572
276,역,561
277,찮,559
278,받,559
279,석,556
280,억,554
281,돈,553
282,겨,546
283,활,545
284,괜,539
285,곳,539
286,빠,538
287,최,531
288,종,531
289,빨,530
290,몰,530
291,넣,525
292,됐,524
293,카,523
294,막,522
295,갔,521
296,힘,519
297,키,515
298,망,512
299,험,509
300,약,507
301,린,506
302,였,505
303,황,502
304,녀,501
305,백,497
306,찾,496
307,랬,495
308,졌,490
309,증,484
310,밤,484
311,준,483
312,티,478
313,접,477
314,설,477
315,표,475
316,격,475
317,호,474
318,토,474
319,병,472
320,프,470
321,특,468
322,끼,467
323,몇,463
324,잡,462
325,돌,458
326,형,450
327,필,445
328,옷,442
329,싸,442
330,될,442
331,잠,440
332,란,439
333,엔,436
334,앞,432
335,뭔,432
336,품,431
337,능,429
338,길,426
339,찍,425
340,얘,423
341,귀,423
342,릴,422
343,냐,418
344,채,416
345,쉽,416
346,술,415
347,판,414
